customerName,,Date,comment
シTOS,,قبل سنة,"Groon .. 🫡

الكونسبت بشكل عام جداً مريح وجميل ،، المكان هااادي ورواءءء ينفع تفكر في مستقبلك …"
Taiif,,قبل سنة,"زيارتي لهم كانت اليوم وقت العشاء، طلبت منهم ايس دريب وقهوة اليوم وكيكة التشيز كيك والسينابون ، حلا التشيز كيك من غرابته ولذّته ودك مايخلص ! والسينابون لذيذ وطعمه بشكل ما يوصف .. وقهوتهم حلوة 🤍 والكاشير كان ذوق والخدمة رغم كثرة الطلبات تبارك الله كانت خيالية🤍 الله يبارك لهم يارب، اكرر الزيارة؟ طبعًا وأكيد .. …"
حنان عبدالله,,قبل سنة,"كوفي جميل و جلسات رائعة تعامل راقي وخدمتهم سريعة
مزدحم دائماً للأسف
قهوته رهييييبه وحلوياته لذيذة"
Ghadeer,,قبل 3 أشهر,"قرون حلو لكن صار موقف ماقد صار لي مع القهاوي كلها، وخلتني أكرهه اجيه صارت لنا حركة وصخه من الموظف الكاشير اللي أسمه سلطان مادري هو حب يستقعد لنا ولا أيش !  رغم أننا تعنينا عشان نجي القهوة يالله يالله مع زحمة اليوم الوطني ويوم شفنا مره لاين …"
Fatmah Hamad,,قبل سنة,"شهادتي فيه مجروحة ومن الخيارات المتاحة والمطروحة دائماً
التشيز كيك والكراميل بيكان شيء خيالي والقهوة مضبوطططة جداً والاطلالة رائعة لكن اختيار المكان هالمره ماكان جيد لان المكان مزدحم ماشاءالله"
evo Abdullah,,قبل أسبوعين,المكان حلو وجمييييل ورايق ومزدحم نوعما
أحلام محمد,,قبل سنة,"المكان جميل لكن الزحمة لاتطاق كان خاطري أقعد بالكافية وأستمتع لكن من الزحمة يادوبك أنتظرت
الله يبارك لهم بس …"
كِندة,,قبل 8 أشهر,"خذيت كركديه مرررره عجيب حامض ، وساندوتش حلومي بالزعتر معاه اعتقد دبس رمان ، الستاف بشوش وخدوم ، لنا زياره اخرى بإذن الله ، الاسعار نوعاً ما معقوله"
Abdulrahman,,قبل 10 أشهر,فوق التقييم صراحه قهوتهم جميله جداً لكن اوقات الزحمه يصعب انك تكيف براحتك لكن طعم القهوه يستاهل يستحق الزياره ❤️
Seba 44,,قبل أسبوعين,"كيكه البستاشيو حلو
القهوه عاديه جدا
ماهو على سمعته …"
Moosab 1998,,قبل سنة,"ثاني زياره للكوفي ، الله يبارك لهم
المكان جميل وكبير
خيارات الحلى متنوعه اكثر من اي كوفي ثاني . …"
Nawaf Majed,,قبل 5 أيام,"كوفي جميل ولا يعلى عليه ومو اول تجربة ولا اخر تجربة
بس سالفة الحمامات اتمنى تشوفون لها حل صار كل واحد يدخل حق الثاني علشان ماينتظر
مو طبيعي ادخل حمام رجال واشم ريحة حيض !!"
By Maha,,قبل سنة,"القهوه ماعليها كلام جودتها ممتازه ماتحتاج تقييم 👍🏻
الماتشا ايضا جيده جدا.
تم تجربة الاصناف الجديده من الحلا …"
ABM,,قبل شهرين,"تعامل سيء
أول مره اعرف إن فيه كافيهات ما تاخذ كاش !!! وهذا مخالف للأنظمة !!! …"
خالد الجهنى,,قبل شهرين,"بكل اختصار ، الكافي ممتاز و رائع بمعنى الكلمة ، قهوة اليوم قهوة طعمها خاص و رايق تحس فيها طعم و ثقل القهوة مو خفيف كانها ماء ، و الحلى جميل و متقن والمكان جداً رايق ، حقيقة كررت الزياره مرتين و ما زلت افكر متى افضى عشان اروح له ثالث مره ."
thana,,قبل سنة,"المكان شرح ووسيع
قهوة اليوم لذيذة
التشيز كيك حلو طعمه لكن طعم الجبن طالع فيه مره احس لو ذقت البيكان بتطلع الذ …"
Just khalid.,,قبل سنة,"زحمة المكان حلوة لا تشوفونه زحمة وتهربون 🏃🏻
رغم زحمته الا القهوة عندهم لذيذة 🤤 مو مأثر هالشيء على جودة التقديم أبداً …"
Hajar Alhajri,,قبل 7 أشهر,"جيناهم السبت العصر وكان رايققق وهادي ، طلبنا ايس درب البن مكسيكي جداً لذيذ والحلى لذيذ بعد والمكان شرح ، يمكن بس اللي يضايق الوصول للمحل صعب ، بالتوفيق لهم 💛 …"
Soma Si,,قبل شهر,جربت v60 المحصول الكولومبي حلوة. الخدمة بشكل عام جيدة بس طلبت منهم يقفلوا الستارة بحكم أن الشمس ضاربة على المكان وقال غير مسموح🫢 ولاحظت كثير يقولوا جيد للعمل وصراحة ما انصح الكراسي غير مريحة ولا فيه أفياش. …
Rayan,,قبل سنة,"زيارتي كانت له في الصباح وكان جددا جميل المكان ومررررريح ولططيف من ديكور ومقاعد كانت مريحة
طلباتنا كانت بيكان كراميل وتشيز كيك وسينابون …"
nourh o.,,قبل 8 أشهر,"اخذنا ايس v60 وايس كركديه وتربل شوكلاته
صراحة القهوة والكركديه ممتازة جدًا جدًا جدًا
برغم صعوبه الوصول للموقع بحكم اغلاق الطرق اللي توصل له لكن مزدحم فـ اخذنا سفري لكن صراحة ممتازين ولي تجربة اخرى ان شاء الله"
Reem_140,,قبل سنة,"القهوه كانت جيده ماكنت مره مضبوطه ، لكن الكركديه والتشيز يمييي صراحه 🤤🤤🤤🤤.
الكركديه من افضل اللي تذوقتهم هالفتره ، طعم النعناع فيه معطيه انتعاش وكااان مره لذيذ  . …"
Grace Forever,,قبل 7 أشهر,"طلبنا
تربيل شوكلت ٢٦ ريال جدا حالية ماعجبتنا
سينابون بنز ١٨ ريال عادية وحالية مرة …"
محمّد,,قبل 11 شهرًا,"فوق التقييم ماشاء الله الله يبارك لهم ويزيدهم
التعامل الاسعار الطعم الخدمه اتمنى لهم الافضل
البنانا بودينق ماتوقعت ابد لذيذه وخفيفه وطعم جديد"
ebtesam alawwad,,قبل 10 أشهر,V60  ١٠-١٠  موزونه أمريكانو  ٩- ١٠ حامضه شوي من حرارتها سينابون ٥-١٠ وكثيره ناشفه وعجينتها مليانه سكر يابس ومالها ريحه سينابون  طلبت منهم يسخنونها طلعت افضل نوعا ما عجينتها اقرب للبڤ باستري …
صافي,,قبل سنة,تجربتي كانت مرضيه عندهم الصدق من ناحية القهوه والحلا والكركديه بس من ناحية الجلسات للاسف ماتوفقت مع اني رحت له العصر مع ذلك زحمه مررره وكلهم شباب ماحسيت الجلسه فيه مريحه 😓 …
Meshal Reviews,,قبل سنة,"صراحة اقل من المتوقع على الزحمة اللي عنده😅
الفلات وايت جيد جدا ولذيذ ☕️
السينمون بنز اقل من المتوسط صراحة وسعره مرتفع 🍨 …"
Shahad,,قبل شهرين,"جربت قهوة اليوم كانت كولومبيه رائعه! و ساندوش التونا والتركي كانت لذيذه جداً وخفيفه وتستحق التجربه.
من مده كنت ابي اجرب القهوه بس لانها كانت هبه وزحمه لفتره، لكن الحين بدت تصير رايقه جداً وافضى خصوصاً بالصباح والويكند👍 …"
خالد بن فهد,,قبل سنة,"ما شاء الله تبارك الله
المكان هادي ومرتب جدا 😍
جربت سبانش حار لذيذ 🤤👌🏻 …"
Omar Hamad,,قبل 6 أشهر,السعودي محترم أما الفلبيني كان الله في عونك
Axxej A,,قبل سنة,"السويت اقيمه ١٠/١٠
القهوه كانت موزونه وحلوه
وتعاملهم كان كويس مره والمكان مرتب ويفتح النفس بنرجع لكم قريب💚🫡 …"
Hawazen,,قبل سنة,"ألذ تشيز كيز بالكرة الأرضية خصوصًا البنانا بودينق💚
الكوستاريكا رهييبة وانبسطت إنهم فتحوا الصباح لأنها ألذ قهوة تبدأ يومك فيها، الكركديه خياال والماتشا برضو اطلبوها اكسترا سويت …"
Just R,,قبل 3 أشهر,توزيعات وصاجيننا آخر شيء جيت فاتورتي الساعة ٤:٥٠ ما عطاني والي بعدي ٥:١٥ بدأ يعطيهم:) وأقول للفلبيني يقول السعودي انا مالي دخل والسعودي مسوي ما يشوفنا يعني هل يعقل اني برجع اصف اللاين مره ثانية واطلب كركديه عشان تعطيني وانا توني صافه وطالبه منك فاتورة عالية ؟؟؟ او اوقت جيتي على شفت السعودي؟  طيب أطر ؟
H a,,قبل 8 أشهر,"قرون قهووتي المفضلة كل شي عندهم لذذيذ!

لا تنسون تطلبون الشوكلت كيك مع v60 بتدمنونه🤯 …"
ماجد الحمادي,,قبل أسبوع,"العماله فاشلين جدا طلب ٢ ايس دريب قعدت ٣٠ دقيقه والكوفي مافيه زباين ليش التاخير هذا ؟؟؟؟
واقولت له ٣ مرات تعال نظف الطاولة يناظر ولا يرد وش التعامل هذا !؟"
mryam waleed,,قبل 7 أشهر,"حلا الهبه حلو وخفيف
ماحبيت الكابتشينو
V60 بارد حلو 👍🏽
موقعه في حاره …"
Kam _ad,,قبل 3 أشهر,"الفلات وايت مميز
التشيز كيك ٥ من ١٠
الخدمة مميزة"
Sara Almujel,,قبل سنة,"المكان حلو وشرح بس تقهر كراسيهم اغلبها لاصقه بالارض مو مريحه

- الماتشا 24 مو لذيذه فيها طعم غريب ( افتر تيست ) ما احسها ماتشا صدقيه ما انصح …"
صالح العجمي,,قبل سنة,ثاني زياره الكوفي يقدم القهوه الساخنه والمشروبات البارده ومشهور بالحلى اللذيذ والكركديه الباااارد ❤️ بس الاسعار مرتفعه شوي وزحمة ما قدرت اجلس واخذت الطلب في السياره بس يستاهل التجربه وبرجع اجرب الكركديه ان شاء الله .. …
هاجر محمد,,قبل سنة,"المكان لا بأس فيه شوي زحمه والجلسات متقاربه
جربت عندهم
رول الكاسترد كان عادي ٧/ ١٠ …"
عبدالله ال عبدالله,,قبل 8 أشهر,"القهوة نوعا ما جيدة والحلا جيدة .. لكن ما اعجبني عدم احترام وقت وصولي وتسليم طلباتي متاخرة + سلموا لعملاء بعدي… وايضا ملاحظة الاكواب تقول من اكواب ابوخمسة جودتها سيئة مثل ما بالصورة..
اتمنى يحسنون الجودة"
تغطيات توينز الرياض,,قبل 8 أشهر,"فوق التقيم الله يسعدهم
جدا جميل المكان ويهتمون بكل شي ، دائم بكل مناسبة يسون فعاليات ودائم اجيهم مو اول مره …"
Ghaida Gh,,قبل شهرين,"جودة القهوة والأكل ١٠ من عشرة ، بس المكان ماش.
أغلب الجلسات سوداء وفيها بقع اندقت دق، لو يسوون تجديد ويحسنون الأرضية بعد بيطلع ممتاز."
Razan Abdullah,,قبل 5 أشهر,"ما شاءالله تبارك الله المكان والقهوه والحلويات كل شي فوق الخياال ، جربت المخبوزات اللي عندهم وكانت لذيذه مرره واخذت ايس دريب ومرا كانت ممتازه اعجبتني ، والخدمه بعد مرا كانت حلوه شكرا قرون 🤍 …"
samyah saluman,,قبل شهر,"ساندويش التونة سبايسي لذيذ جداً
قهوة اليوم مضبوطة 👌🏻 …"
A M,,قبل 3 أشهر,"ماشاءالله دايم اجيه والقاه مزدحم الله يبارك لصاحبه، هالمره رحت العصر والحمدلله فاضي روقان وهادي ويبخرون المكان ، قهوة اليوم والكركديه حلوين وايضاً التيشز كيك والميني بايتس تشيز كيك لذيييييييذين ماراح اتعداهم اذا رجعت ثانية خاصتاً الميني بايتس لذيذه وخفيفه، تعاملهم لطيف وخدمتهم سريعة"
AbuSulaiman,,قبل سنة,"الزيارة كانت لتجربة الكرواسون..
جربت رول الجبن ..
جيد جدا لكن ليس مميز .. …"
سبحان الله,,قبل 5 أشهر,"طلبي قهوه اليوم بارده وحارة وحلا شوكلت مربع شكله الحلا حلو بس صغير على سعره وريحه المكان عوده✨حمام النساء مقفل!
الحلا محدوود ٦ اصناف فقط …"
Afnan N,,قبل سنة,"طلبت آيس كركديه ٢٣ ريال كان لذيذ مرررره ١٠ / ١٠

وسبايسي تونه ٢٦ ريال مو مره عجبتني ٦ / ١٠ …"
عبدالرحمن عبدالعزيز,,قبل سنة,"🕐 وقت الزيارة
يوم الإثنين الساعه 17:30 …"
Rasha 999,,قبل سنة,"مكان جدا جميل

القهوة والحلى جدا جميل …"
نوف محمد,,قبل سنة,"مكان جميل ورايق وهادي وحلاهم يدوخ وقهوتهم رايقه والايس كركديه يسرسح
واستقبالهم ذوق وخدمتهم سريعه
ليس اعلان تجربه خاصه فيني"
Fadwa Fahad,,قبل سنة,المكان كبير بس زحمة جداً جداً جربت فلات وايت ٦/١٠  V60 حلوه ٩/١٠ قهوة اليوم ٧/١٠ الكركدية حالي ماعجبني مرا ٧/١٠ المكان عادي جداً بس اخذ سمعه ولا مايسوا صراحه👎🏻 …
Omaima,,قبل سنة,"القهوه حلوه والكركديه حلو مررره
الحلى جربنا نوع واحد وكان لذيذ
الديكور بسيط …"
ربى عبدالعزيز,,قبل 4 أشهر,منزمان نفسي اجيه وكانت تجربه جميله والفرع هادي جدًا احلا شي عجبني فيه طلبت قهوة اليوم اعطيها9.5/10 وتربل كيك تشوكلت لذيذ بعد
